,short_position,GKDiving,Composure,Finishing,Vision,Strength,Stamina,Jumping,ShotPower,Reactions,Agility,Dribbling,HeadingAccuracy
3513,midfield,11.0,63.0,62.0,72.0,34.0,65.0,53.0,68.0,63.0,81.0,77.0,50.0
3514,front,12.0,72.0,73.0,69.0,75.0,73.0,85.0,72.0,71.0,69.0,67.0,73.0
3515,midfield,11.0,63.0,74.0,73.0,78.0,71.0,66.0,76.0,61.0,75.0,72.0,60.0
3516,midfield,15.0,69.0,46.0,60.0,77.0,75.0,70.0,59.0,68.0,69.0,62.0,65.0
3517,back,6.0,59.0,29.0,55.0,78.0,52.0,59.0,61.0,69.0,55.0,51.0,73.0
3518,back,7.0,68.0,38.0,40.0,84.0,74.0,78.0,48.0,62.0,54.0,42.0,78.0
3519,midfield,6.0,64.0,71.0,66.0,68.0,55.0,41.0,65.0,65.0,78.0,77.0,33.0
3520,back,9.0,69.0,34.0,50.0,83.0,82.0,75.0,62.0,72.0,72.0,64.0,68.0
3521,back,9.0,75.0,68.0,77.0,59.0,85.0,73.0,69.0,72.0,76.0,74.0,68.0
3522,back,13.0,67.0,21.0,59.0,72.0,88.0,82.0,43.0,68.0,75.0,64.0,60.0
3523,midfield,11.0,67.0,57.0,66.0,71.0,68.0,71.0,79.0,72.0,59.0,72.0,70.0
3524,back,14.0,60.0,27.0,65.0,72.0,92.0,53.0,65.0,71.0,69.0,63.0,59.0
3525,front,10.0,68.0,67.0,75.0,79.0,73.0,70.0,83.0,69.0,70.0,66.0,73.0
3526,front,13.0,68.0,71.0,70.0,72.0,77.0,66.0,75.0,71.0,75.0,71.0,56.0
3527,midfield,7.0,63.0,73.0,64.0,62.0,70.0,75.0,70.0,70.0,84.0,77.0,55.0
3528,goalkeeper,74.0,62.0,12.0,52.0,62.0,31.0,66.0,25.0,59.0,38.0,11.0,12.0
3529,goalkeeper,70.0,36.0,12.0,50.0,69.0,14.0,26.0,20.0,62.0,20.0,11.0,11.0
3530,midfield,15.0,60.0,59.0,62.0,70.0,68.0,73.0,62.0,67.0,79.0,75.0,43.0
3531,midfield,14.0,64.0,64.0,73.0,65.0,71.0,71.0,68.0,67.0,81.0,70.0,58.0
3532,back,8.0,65.0,55.0,60.0,70.0,83.0,76.0,72.0,70.0,67.0,66.0,67.0
3533,front,16.0,70.0,77.0,46.0,89.0,63.0,30.0,74.0,74.0,68.0,58.0,81.0
3534,back,8.0,66.0,30.0,48.0,73.0,50.0,64.0,60.0,64.0,34.0,48.0,68.0
3535,midfield,8.0,68.0,60.0,70.0,67.0,89.0,50.0,74.0,68.0,75.0,70.0,39.0
3536,front,12.0,60.0,76.0,54.0,79.0,76.0,76.0,77.0,58.0,74.0,71.0,72.0
3537,back,11.0,72.0,45.0,48.0,78.0,54.0,75.0,63.0,67.0,55.0,58.0,78.0
3538,goalkeeper,74.0,51.0,17.0,50.0,70.0,30.0,78.0,23.0,71.0,51.0,18.0,12.0
3539,front,13.0,73.0,75.0,59.0,75.0,65.0,87.0,70.0,64.0,79.0,74.0,65.0
3540,back,11.0,69.0,39.0,38.0,73.0,67.0,74.0,57.0,67.0,59.0,49.0,76.0
3541,goalkeeper,68.0,34.0,10.0,47.0,60.0,21.0,52.0,14.0,68.0,53.0,10.0,13.0
3542,midfield,7.0,74.0,70.0,72.0,71.0,67.0,42.0,72.0,70.0,68.0,71.0,37.0
3543,midfield,9.0,65.0,55.0,62.0,82.0,87.0,72.0,59.0,71.0,76.0,75.0,61.0
3544,midfield,11.0,62.0,61.0,70.0,65.0,74.0,81.0,83.0,67.0,80.0,78.0,71.0
3545,front,7.0,56.0,77.0,58.0,74.0,63.0,81.0,68.0,65.0,65.0,65.0,75.0
3546,back,5.0,68.0,30.0,40.0,66.0,78.0,74.0,57.0,70.0,73.0,66.0,60.0
3547,back,13.0,64.0,52.0,37.0,83.0,76.0,78.0,57.0,69.0,43.0,42.0,78.0
3548,back,10.0,62.0,15.0,35.0,90.0,77.0,82.0,61.0,63.0,57.0,40.0,72.0
3549,back,15.0,60.0,38.0,48.0,83.0,71.0,82.0,63.0,63.0,62.0,54.0,72.0
3550,midfield,8.0,77.0,65.0,74.0,65.0,45.0,64.0,79.0,76.0,75.0,70.0,28.0
3551,back,16.0,69.0,27.0,48.0,73.0,80.0,89.0,59.0,66.0,66.0,60.0,71.0
3552,front,8.0,66.0,72.0,61.0,75.0,68.0,61.0,81.0,75.0,69.0,65.0,67.0
3553,midfield,15.0,73.0,71.0,73.0,70.0,66.0,61.0,78.0,66.0,73.0,75.0,62.0
3554,back,11.0,64.0,30.0,29.0,76.0,77.0,78.0,49.0,71.0,67.0,50.0,76.0
3555,midfield,10.0,71.0,66.0,72.0,66.0,80.0,72.0,77.0,75.0,73.0,72.0,62.0
3556,back,12.0,68.0,54.0,66.0,60.0,86.0,69.0,60.0,74.0,83.0,74.0,61.0
3557,back,16.0,61.0,37.0,52.0,88.0,60.0,69.0,63.0,64.0,30.0,46.0,70.0
3558,midfield,10.0,66.0,69.0,73.0,81.0,93.0,78.0,79.0,66.0,64.0,70.0,59.0
3559,midfield,16.0,65.0,66.0,70.0,53.0,84.0,74.0,71.0,65.0,81.0,74.0,46.0
3560,midfield,11.0,61.0,69.0,73.0,59.0,61.0,38.0,59.0,65.0,81.0,73.0,66.0
3561,midfield,9.0,75.0,71.0,70.0,78.0,73.0,76.0,71.0,71.0,60.0,68.0,74.0
3562,back,12.0,50.0,25.0,28.0,78.0,78.0,85.0,37.0,63.0,72.0,33.0,77.0
3563,back,11.0,64.0,41.0,47.0,74.0,76.0,93.0,45.0,65.0,63.0,55.0,75.0
3564,front,8.0,62.0,77.0,48.0,78.0,70.0,59.0,69.0,74.0,71.0,71.0,70.0
3565,midfield,12.0,67.0,65.0,69.0,70.0,79.0,64.0,63.0,72.0,82.0,75.0,56.0
3566,midfield,7.0,68.0,70.0,65.0,73.0,78.0,91.0,66.0,70.0,92.0,72.0,54.0
3567,front,12.0,70.0,77.0,57.0,92.0,52.0,33.0,85.0,66.0,45.0,63.0,76.0
3568,back,7.0,53.0,32.0,59.0,72.0,83.0,76.0,34.0,65.0,72.0,71.0,48.0
3569,midfield,10.0,78.0,58.0,72.0,82.0,92.0,69.0,72.0,71.0,71.0,66.0,51.0
3570,back,10.0,68.0,52.0,51.0,86.0,69.0,36.0,84.0,61.0,31.0,50.0,77.0
3571,back,7.0,65.0,45.0,43.0,54.0,86.0,72.0,68.0,68.0,83.0,74.0,54.0
3572,midfield,14.0,63.0,59.0,71.0,67.0,51.0,61.0,74.0,68.0,70.0,78.0,49.0
3573,midfield,8.0,74.0,54.0,70.0,69.0,72.0,62.0,74.0,74.0,71.0,75.0,55.0
3574,midfield,8.0,61.0,49.0,63.0,74.0,77.0,80.0,65.0,65.0,64.0,62.0,78.0
3575,back,11.0,52.0,27.0,33.0,77.0,61.0,51.0,38.0,57.0,42.0,51.0,78.0
3576,midfield,12.0,63.0,62.0,75.0,56.0,78.0,31.0,72.0,81.0,83.0,71.0,36.0
3577,goalkeeper,75.0,33.0,9.0,16.0,56.0,28.0,59.0,24.0,74.0,63.0,14.0,15.0
3578,midfield,11.0,72.0,45.0,72.0,59.0,73.0,72.0,70.0,70.0,88.0,75.0,39.0
3579,midfield,9.0,62.0,64.0,68.0,39.0,75.0,35.0,65.0,76.0,87.0,76.0,45.0
3580,midfield,8.0,73.0,60.0,73.0,65.0,63.0,67.0,64.0,71.0,72.0,71.0,50.0
3581,midfield,6.0,70.0,66.0,70.0,55.0,54.0,73.0,71.0,74.0,80.0,73.0,68.0
3582,front,12.0,71.0,76.0,60.0,61.0,64.0,68.0,78.0,67.0,71.0,69.0,72.0
3583,back,8.0,70.0,64.0,67.0,77.0,84.0,55.0,74.0,70.0,75.0,75.0,58.0
3584,front,4.0,77.0,73.0,60.0,77.0,56.0,85.0,72.0,70.0,68.0,64.0,76.0
3585,back,10.0,71.0,52.0,61.0,81.0,86.0,57.0,69.0,68.0,68.0,71.0,68.0
3586,front,7.0,66.0,66.0,55.0,73.0,62.0,72.0,61.0,77.0,71.0,73.0,75.0
3587,back,12.0,67.0,44.0,55.0,74.0,73.0,77.0,59.0,78.0,71.0,61.0,56.0
3588,midfield,16.0,72.0,49.0,77.0,48.0,69.0,34.0,70.0,66.0,81.0,77.0,39.0
3589,midfield,15.0,69.0,65.0,69.0,58.0,73.0,60.0,63.0,71.0,76.0,79.0,58.0
3590,back,8.0,69.0,27.0,34.0,73.0,65.0,85.0,62.0,70.0,68.0,59.0,68.0
3591,midfield,9.0,67.0,53.0,73.0,68.0,87.0,73.0,70.0,71.0,74.0,68.0,55.0
3592,front,7.0,79.0,71.0,62.0,76.0,65.0,80.0,73.0,73.0,75.0,71.0,67.0
3593,front,8.0,59.0,72.0,54.0,75.0,78.0,72.0,74.0,72.0,66.0,67.0,71.0
3594,back,6.0,76.0,23.0,51.0,81.0,58.0,55.0,59.0,70.0,50.0,48.0,71.0
3595,midfield,13.0,68.0,68.0,71.0,58.0,62.0,68.0,70.0,68.0,83.0,78.0,61.0
3596,front,14.0,67.0,67.0,73.0,53.0,62.0,31.0,67.0,71.0,75.0,74.0,40.0
3597,midfield,6.0,70.0,59.0,73.0,75.0,68.0,76.0,77.0,71.0,63.0,71.0,70.0
3598,midfield,16.0,66.0,58.0,62.0,66.0,63.0,55.0,67.0,65.0,75.0,82.0,38.0
3599,back,6.0,68.0,58.0,63.0,62.0,80.0,62.0,60.0,63.0,78.0,70.0,42.0
3600,back,12.0,53.0,51.0,35.0,91.0,65.0,68.0,54.0,61.0,33.0,32.0,70.0
3601,midfield,12.0,64.0,60.0,71.0,49.0,66.0,60.0,74.0,61.0,76.0,74.0,34.0
3602,front,16.0,76.0,69.0,73.0,89.0,62.0,48.0,71.0,70.0,52.0,68.0,70.0
3603,goalkeeper,72.0,54.0,13.0,57.0,74.0,26.0,69.0,26.0,68.0,38.0,13.0,12.0
3604,front,7.0,62.0,73.0,60.0,72.0,62.0,68.0,69.0,71.0,76.0,75.0,68.0
3605,midfield,7.0,69.0,58.0,69.0,80.0,73.0,66.0,67.0,68.0,62.0,70.0,54.0
3606,front,14.0,68.0,66.0,75.0,64.0,73.0,57.0,71.0,66.0,87.0,77.0,50.0
3607,midfield,14.0,66.0,45.0,66.0,75.0,91.0,78.0,51.0,70.0,61.0,62.0,63.0
3608,goalkeeper,71.0,62.0,16.0,27.0,66.0,37.0,66.0,25.0,70.0,33.0,14.0,19.0
3609,back,7.0,64.0,38.0,39.0,86.0,67.0,73.0,56.0,62.0,28.0,48.0,70.0
3610,front,12.0,69.0,72.0,73.0,71.0,63.0,53.0,78.0,59.0,76.0,74.0,41.0
3611,back,12.0,66.0,35.0,48.0,67.0,86.0,66.0,60.0,72.0,67.0,61.0,57.0
3612,midfield,8.0,69.0,52.0,74.0,66.0,65.0,63.0,57.0,72.0,64.0,75.0,55.0
3613,goalkeeper,71.0,58.0,8.0,52.0,60.0,28.0,69.0,33.0,68.0,45.0,7.0,14.0
3614,midfield,7.0,73.0,67.0,76.0,59.0,75.0,70.0,71.0,68.0,82.0,67.0,46.0
3615,midfield,11.0,63.0,71.0,69.0,74.0,74.0,63.0,72.0,72.0,72.0,72.0,76.0
3616,midfield,13.0,66.0,60.0,66.0,42.0,61.0,39.0,63.0,64.0,65.0,76.0,33.0
3617,midfield,10.0,77.0,72.0,67.0,76.0,55.0,54.0,85.0,71.0,74.0,75.0,64.0
3618,midfield,9.0,62.0,59.0,76.0,47.0,64.0,59.0,78.0,66.0,84.0,75.0,49.0
3619,midfield,14.0,67.0,57.0,75.0,80.0,37.0,80.0,72.0,75.0,67.0,66.0,63.0
3620,midfield,7.0,76.0,50.0,72.0,77.0,54.0,60.0,80.0,62.0,61.0,74.0,60.0
3621,midfield,15.0,68.0,66.0,70.0,72.0,61.0,62.0,71.0,58.0,69.0,75.0,60.0
3622,midfield,13.0,70.0,63.0,69.0,81.0,72.0,61.0,66.0,69.0,61.0,74.0,58.0
3623,midfield,6.0,68.0,67.0,74.0,68.0,66.0,53.0,72.0,66.0,79.0,76.0,60.0
3624,goalkeeper,71.0,28.0,13.0,34.0,74.0,33.0,83.0,19.0,70.0,58.0,14.0,13.0
3625,midfield,15.0,73.0,66.0,69.0,68.0,72.0,81.0,71.0,68.0,74.0,71.0,69.0
3626,back,7.0,69.0,34.0,51.0,74.0,76.0,75.0,59.0,72.0,65.0,68.0,67.0
3627,midfield,9.0,62.0,55.0,54.0,67.0,67.0,56.0,74.0,72.0,78.0,67.0,61.0
3628,back,9.0,62.0,34.0,59.0,88.0,76.0,90.0,67.0,61.0,64.0,57.0,72.0
3629,front,10.0,73.0,72.0,64.0,74.0,66.0,74.0,75.0,65.0,70.0,73.0,74.0
3630,back,11.0,52.0,51.0,40.0,57.0,70.0,63.0,52.0,72.0,80.0,66.0,44.0
3631,goalkeeper,71.0,27.0,12.0,13.0,72.0,36.0,59.0,19.0,73.0,54.0,16.0,20.0
3632,midfield,15.0,69.0,71.0,72.0,64.0,70.0,69.0,70.0,71.0,68.0,71.0,64.0
3633,back,6.0,67.0,33.0,56.0,70.0,68.0,74.0,69.0,60.0,49.0,57.0,75.0
3634,midfield,8.0,73.0,68.0,70.0,44.0,63.0,53.0,61.0,64.0,81.0,71.0,47.0
3635,back,13.0,73.0,43.0,68.0,82.0,74.0,75.0,68.0,70.0,58.0,66.0,69.0
3636,front,11.0,73.0,75.0,69.0,85.0,60.0,60.0,74.0,70.0,70.0,70.0,72.0
3637,back,15.0,55.0,43.0,38.0,81.0,75.0,79.0,62.0,68.0,60.0,55.0,72.0
3638,back,8.0,65.0,50.0,64.0,65.0,75.0,60.0,79.0,63.0,68.0,68.0,46.0
3639,back,8.0,76.0,22.0,58.0,84.0,66.0,51.0,82.0,71.0,49.0,57.0,74.0
3640,midfield,6.0,61.0,59.0,66.0,80.0,89.0,75.0,73.0,73.0,67.0,67.0,59.0
3641,midfield,12.0,78.0,71.0,76.0,76.0,78.0,86.0,74.0,78.0,75.0,68.0,75.0
3642,midfield,8.0,81.0,44.0,77.0,53.0,46.0,69.0,77.0,73.0,74.0,71.0,42.0
3643,front,7.0,67.0,76.0,51.0,77.0,81.0,80.0,78.0,73.0,64.0,64.0,72.0
3644,back,10.0,64.0,50.0,39.0,76.0,68.0,72.0,49.0,66.0,56.0,49.0,72.0
3645,back,7.0,56.0,36.0,53.0,76.0,74.0,70.0,58.0,69.0,70.0,44.0,74.0
3646,midfield,15.0,62.0,69.0,61.0,66.0,66.0,65.0,78.0,64.0,77.0,81.0,58.0
3647,midfield,16.0,77.0,65.0,69.0,68.0,89.0,54.0,65.0,72.0,80.0,72.0,58.0
3648,back,6.0,67.0,43.0,59.0,76.0,72.0,79.0,55.0,67.0,65.0,49.0,76.0
3649,midfield,15.0,73.0,31.0,69.0,65.0,76.0,85.0,68.0,70.0,75.0,69.0,54.0
3650,midfield,16.0,71.0,46.0,64.0,78.0,83.0,71.0,78.0,68.0,64.0,56.0,67.0
3651,midfield,14.0,52.0,65.0,58.0,34.0,88.0,58.0,72.0,67.0,87.0,74.0,49.0
3652,midfield,15.0,65.0,66.0,71.0,56.0,66.0,55.0,70.0,64.0,77.0,77.0,42.0
3653,goalkeeper,78.0,52.0,18.0,28.0,67.0,24.0,82.0,23.0,68.0,62.0,14.0,17.0
3654,goalkeeper,72.0,61.0,20.0,33.0,65.0,40.0,70.0,19.0,68.0,60.0,13.0,18.0
3655,goalkeeper,72.0,66.0,15.0,60.0,63.0,28.0,57.0,19.0,69.0,47.0,16.0,16.0
3656,back,6.0,54.0,45.0,53.0,65.0,78.0,86.0,52.0,74.0,77.0,71.0,59.0
3657,front,5.0,70.0,75.0,40.0,85.0,74.0,74.0,75.0,68.0,55.0,64.0,73.0
3658,back,10.0,70.0,50.0,66.0,71.0,73.0,69.0,72.0,68.0,72.0,70.0,60.0
3659,back,14.0,61.0,28.0,58.0,72.0,81.0,75.0,50.0,68.0,78.0,61.0,62.0
3660,midfield,9.0,73.0,70.0,68.0,65.0,69.0,81.0,68.0,66.0,85.0,73.0,70.0
3661,front,15.0,70.0,73.0,68.0,42.0,80.0,74.0,61.0,81.0,92.0,74.0,67.0
3662,front,13.0,59.0,73.0,49.0,64.0,64.0,74.0,70.0,70.0,68.0,74.0,69.0
3663,back,11.0,74.0,42.0,64.0,66.0,47.0,73.0,72.0,72.0,68.0,71.0,61.0
3664,midfield,12.0,68.0,67.0,60.0,66.0,71.0,88.0,70.0,65.0,79.0,79.0,64.0
3665,front,16.0,64.0,72.0,53.0,71.0,55.0,74.0,62.0,72.0,63.0,75.0,61.0
3666,midfield,5.0,68.0,69.0,64.0,58.0,82.0,56.0,70.0,65.0,79.0,76.0,32.0
3667,front,7.0,75.0,74.0,68.0,68.0,72.0,81.0,75.0,69.0,74.0,73.0,58.0
3668,front,6.0,69.0,74.0,50.0,90.0,73.0,72.0,77.0,70.0,58.0,63.0,74.0
3669,midfield,6.0,66.0,53.0,69.0,46.0,64.0,57.0,48.0,65.0,87.0,80.0,20.0
3670,midfield,14.0,58.0,63.0,68.0,65.0,75.0,67.0,70.0,63.0,80.0,72.0,46.0
3671,front,9.0,76.0,75.0,53.0,88.0,54.0,66.0,80.0,73.0,64.0,55.0,74.0
3672,back,9.0,65.0,59.0,60.0,54.0,66.0,75.0,78.0,71.0,82.0,79.0,49.0
3673,midfield,13.0,64.0,58.0,57.0,73.0,80.0,69.0,78.0,74.0,74.0,64.0,56.0
3674,midfield,8.0,69.0,60.0,70.0,55.0,73.0,59.0,61.0,57.0,90.0,77.0,49.0
3675,midfield,13.0,63.0,70.0,75.0,50.0,65.0,59.0,51.0,72.0,70.0,72.0,41.0
3676,back,15.0,55.0,36.0,51.0,75.0,71.0,81.0,43.0,68.0,75.0,54.0,75.0
3677,back,8.0,60.0,32.0,30.0,72.0,69.0,72.0,68.0,72.0,68.0,56.0,64.0
3678,front,9.0,70.0,73.0,66.0,47.0,78.0,80.0,72.0,71.0,90.0,72.0,73.0
3679,front,8.0,65.0,67.0,67.0,62.0,92.0,83.0,61.0,68.0,95.0,70.0,43.0
3680,front,8.0,70.0,70.0,54.0,45.0,63.0,66.0,72.0,77.0,88.0,75.0,65.0
3681,back,16.0,71.0,34.0,34.0,76.0,70.0,54.0,48.0,70.0,61.0,63.0,72.0
3682,midfield,10.0,67.0,49.0,68.0,36.0,86.0,82.0,76.0,74.0,91.0,68.0,47.0
3683,back,9.0,63.0,40.0,53.0,72.0,62.0,71.0,60.0,69.0,69.0,69.0,59.0
3684,midfield,12.0,70.0,66.0,74.0,63.0,66.0,52.0,66.0,71.0,75.0,76.0,34.0
3685,back,14.0,74.0,26.0,53.0,74.0,73.0,80.0,56.0,68.0,60.0,45.0,64.0
3686,midfield,12.0,65.0,45.0,65.0,70.0,82.0,93.0,64.0,69.0,83.0,57.0,68.0
3687,goalkeeper,72.0,55.0,13.0,21.0,46.0,30.0,46.0,19.0,53.0,21.0,16.0,21.0
3688,front,9.0,66.0,77.0,61.0,59.0,66.0,75.0,76.0,63.0,64.0,63.0,70.0
3689,front,12.0,69.0,75.0,64.0,79.0,72.0,65.0,77.0,66.0,62.0,67.0,66.0
3690,midfield,7.0,65.0,52.0,66.0,66.0,69.0,67.0,70.0,60.0,79.0,77.0,54.0
3691,midfield,7.0,74.0,65.0,63.0,77.0,88.0,72.0,75.0,73.0,69.0,67.0,64.0
3692,midfield,11.0,71.0,64.0,65.0,69.0,76.0,72.0,71.0,65.0,84.0,76.0,51.0
3693,back,11.0,55.0,38.0,64.0,88.0,74.0,64.0,46.0,63.0,36.0,51.0,77.0
3694,back,9.0,65.0,24.0,32.0,82.0,66.0,77.0,43.0,67.0,39.0,17.0,72.0
3695,front,13.0,66.0,74.0,56.0,71.0,81.0,81.0,71.0,68.0,73.0,69.0,69.0
3696,front,9.0,71.0,70.0,59.0,90.0,72.0,74.0,78.0,67.0,56.0,67.0,66.0
3697,back,11.0,65.0,23.0,28.0,72.0,68.0,65.0,34.0,73.0,48.0,23.0,73.0
3698,midfield,10.0,73.0,48.0,75.0,59.0,76.0,53.0,68.0,72.0,83.0,69.0,51.0
3699,front,13.0,71.0,75.0,50.0,53.0,65.0,70.0,73.0,77.0,63.0,68.0,69.0
3700,goalkeeper,74.0,64.0,11.0,35.0,60.0,34.0,71.0,18.0,62.0,36.0,18.0,13.0
3701,goalkeeper,73.0,53.0,13.0,67.0,71.0,34.0,58.0,23.0,69.0,62.0,12.0,20.0
3702,midfield,13.0,67.0,53.0,65.0,64.0,76.0,80.0,72.0,75.0,75.0,67.0,59.0
3703,midfield,8.0,68.0,74.0,64.0,68.0,67.0,65.0,75.0,63.0,74.0,75.0,53.0
3704,front,5.0,65.0,73.0,43.0,85.0,71.0,68.0,76.0,61.0,60.0,70.0,69.0
3705,midfield,13.0,66.0,69.0,62.0,70.0,64.0,65.0,76.0,68.0,78.0,77.0,58.0
3706,midfield,15.0,71.0,35.0,63.0,74.0,82.0,74.0,61.0,65.0,69.0,63.0,58.0
3707,front,11.0,65.0,71.0,72.0,85.0,77.0,52.0,71.0,71.0,61.0,65.0,78.0
3708,back,14.0,60.0,48.0,33.0,83.0,80.0,84.0,49.0,62.0,66.0,50.0,77.0
3709,midfield,12.0,63.0,70.0,66.0,68.0,72.0,80.0,67.0,70.0,72.0,69.0,68.0
3710,midfield,8.0,72.0,64.0,63.0,57.0,71.0,58.0,74.0,69.0,86.0,75.0,45.0
3711,front,14.0,68.0,72.0,62.0,73.0,67.0,76.0,69.0,77.0,80.0,68.0,68.0
3712,goalkeeper,70.0,56.0,15.0,51.0,71.0,39.0,70.0,24.0,68.0,53.0,15.0,14.0
3713,back,8.0,69.0,38.0,48.0,76.0,74.0,81.0,66.0,70.0,67.0,61.0,73.0
3714,back,15.0,72.0,34.0,65.0,81.0,76.0,70.0,68.0,64.0,57.0,45.0,71.0
3715,back,9.0,63.0,36.0,64.0,76.0,82.0,76.0,62.0,76.0,66.0,62.0,67.0
3716,back,6.0,65.0,21.0,44.0,88.0,67.0,53.0,82.0,70.0,60.0,41.0,71.0
3717,midfield,8.0,73.0,63.0,75.0,70.0,88.0,66.0,72.0,70.0,72.0,67.0,48.0
3718,front,13.0,75.0,71.0,63.0,76.0,67.0,84.0,74.0,72.0,65.0,73.0,65.0
3719,back,13.0,64.0,37.0,55.0,77.0,76.0,85.0,49.0,69.0,64.0,62.0,71.0
3720,midfield,9.0,65.0,41.0,58.0,72.0,78.0,69.0,61.0,68.0,71.0,60.0,58.0
3721,goalkeeper,74.0,53.0,20.0,59.0,49.0,30.0,58.0,24.0,76.0,34.0,19.0,18.0
3722,midfield,11.0,74.0,70.0,72.0,61.0,60.0,51.0,80.0,70.0,70.0,73.0,63.0
3723,back,8.0,57.0,43.0,52.0,71.0,65.0,72.0,56.0,73.0,72.0,66.0,73.0
3724,midfield,7.0,77.0,65.0,69.0,32.0,72.0,78.0,72.0,68.0,85.0,78.0,61.0
3725,midfield,9.0,68.0,62.0,75.0,78.0,84.0,72.0,86.0,72.0,81.0,64.0,63.0
3726,midfield,14.0,69.0,69.0,69.0,58.0,44.0,68.0,66.0,67.0,73.0,74.0,38.0
3727,front,6.0,65.0,73.0,53.0,74.0,66.0,71.0,74.0,74.0,63.0,64.0,72.0
3728,back,10.0,80.0,48.0,71.0,64.0,77.0,74.0,61.0,70.0,74.0,69.0,63.0
3729,midfield,10.0,70.0,66.0,72.0,76.0,86.0,61.0,69.0,66.0,62.0,69.0,62.0
3730,midfield,15.0,63.0,53.0,71.0,49.0,73.0,58.0,73.0,70.0,78.0,75.0,31.0
3731,midfield,9.0,72.0,61.0,67.0,75.0,71.0,75.0,67.0,66.0,68.0,67.0,63.0
3732,midfield,8.0,64.0,65.0,70.0,64.0,71.0,58.0,69.0,63.0,82.0,75.0,50.0
3733,back,12.0,58.0,58.0,58.0,73.0,70.0,65.0,67.0,66.0,68.0,66.0,62.0
3734,midfield,7.0,81.0,56.0,68.0,74.0,47.0,70.0,74.0,71.0,43.0,68.0,69.0
3735,back,7.0,69.0,35.0,41.0,76.0,47.0,83.0,52.0,66.0,31.0,45.0,75.0
3736,goalkeeper,73.0,65.0,15.0,18.0,36.0,19.0,34.0,19.0,68.0,21.0,16.0,18.0
3737,midfield,16.0,69.0,47.0,58.0,75.0,74.0,68.0,73.0,70.0,66.0,67.0,67.0
3738,back,13.0,63.0,48.0,61.0,58.0,78.0,52.0,68.0,68.0,80.0,67.0,53.0
3739,back,11.0,65.0,42.0,61.0,68.0,76.0,75.0,66.0,70.0,72.0,67.0,67.0
3740,back,12.0,64.0,38.0,53.0,85.0,73.0,83.0,60.0,61.0,32.0,50.0,67.0
3741,goalkeeper,72.0,36.0,15.0,45.0,70.0,28.0,72.0,23.0,71.0,30.0,20.0,23.0
3742,midfield,14.0,73.0,76.0,69.0,78.0,76.0,79.0,75.0,62.0,81.0,70.0,65.0
3743,midfield,14.0,58.0,58.0,70.0,69.0,87.0,65.0,69.0,75.0,72.0,76.0,60.0
3744,goalkeeper,72.0,35.0,18.0,51.0,62.0,25.0,64.0,22.0,69.0,44.0,15.0,15.0
3745,back,10.0,68.0,38.0,46.0,73.0,72.0,75.0,48.0,68.0,65.0,51.0,71.0
3746,back,9.0,65.0,52.0,55.0,81.0,63.0,84.0,72.0,63.0,67.0,57.0,71.0
3747,back,7.0,53.0,34.0,32.0,80.0,71.0,90.0,56.0,62.0,58.0,49.0,78.0
3748,goalkeeper,68.0,26.0,12.0,19.0,47.0,21.0,52.0,19.0,75.0,22.0,13.0,12.0
3749,back,15.0,78.0,28.0,52.0,64.0,68.0,66.0,47.0,66.0,63.0,58.0,64.0
3750,back,16.0,62.0,30.0,37.0,81.0,72.0,72.0,46.0,75.0,68.0,44.0,73.0
3751,front,14.0,68.0,71.0,55.0,73.0,70.0,64.0,67.0,75.0,69.0,72.0,73.0
3752,back,13.0,71.0,29.0,39.0,77.0,77.0,86.0,59.0,69.0,47.0,44.0,70.0
3753,back,11.0,69.0,40.0,46.0,64.0,75.0,82.0,64.0,77.0,79.0,66.0,58.0
3754,back,10.0,64.0,26.0,68.0,62.0,78.0,53.0,43.0,70.0,74.0,63.0,56.0
3755,midfield,15.0,66.0,69.0,71.0,59.0,58.0,46.0,75.0,67.0,80.0,70.0,54.0
3756,back,14.0,73.0,73.0,73.0,66.0,70.0,64.0,70.0,70.0,80.0,72.0,49.0
3757,back,15.0,71.0,42.0,57.0,77.0,78.0,90.0,63.0,72.0,65.0,70.0,66.0
3758,back,13.0,60.0,58.0,66.0,63.0,87.0,68.0,71.0,68.0,78.0,69.0,55.0
3759,front,11.0,72.0,60.0,66.0,62.0,76.0,64.0,69.0,64.0,86.0,77.0,47.0
3760,midfield,8.0,68.0,66.0,67.0,61.0,70.0,55.0,63.0,68.0,77.0,81.0,53.0
3761,midfield,8.0,68.0,66.0,72.0,66.0,48.0,53.0,70.0,72.0,74.0,75.0,58.0
3762,front,11.0,58.0,69.0,66.0,74.0,70.0,58.0,73.0,68.0,75.0,70.0,77.0
3763,back,6.0,67.0,58.0,39.0,82.0,73.0,79.0,38.0,66.0,57.0,50.0,76.0
3764,back,6.0,60.0,48.0,57.0,79.0,85.0,92.0,50.0,57.0,63.0,64.0,53.0
3765,midfield,16.0,56.0,70.0,71.0,58.0,82.0,65.0,75.0,68.0,78.0,67.0,63.0
3766,midfield,14.0,65.0,73.0,71.0,65.0,64.0,47.0,65.0,67.0,83.0,74.0,63.0
3767,midfield,8.0,64.0,52.0,68.0,53.0,78.0,78.0,67.0,64.0,78.0,78.0,54.0
3768,back,8.0,63.0,31.0,37.0,69.0,77.0,58.0,51.0,70.0,64.0,65.0,57.0
